"","Code","Ward","PCT_Good_Health","PCT_Higher_Managerial","target","PCT_Social_Rented_Households"
"1","E05000886","Allerton and Hunts Cross",48.9732713929846,10.0914913083257,"No",13.0051894952036
"2","E05000887","Anfield",42.2053756030324,2.9126213592233,"Yes",22.7725762609484
"3","E05000888","Belle Vale",40.8491069048254,3.93191954127605,"Yes",42.5551192993053
"4","E05000889","Central",58.6283185840708,7.01992281214144,"No",18.3639165149181
"5","E05000890","Childwall",51.9053781995974,10.7877041306436,"No",6.9374884066036
"6","E05000891","Church",53.3920137398025,17.437789762513,"No",3.02515295717199
"7","E05000892","Clubmoor",41.9264012572027,2.86259541984733,"Yes",43.4762773722628
"8","E05000893","County",42.2214311142755,2.65277119848413,"Yes",23.1875463306153
"9","E05000894","Cressington",48.9140177894229,11.4723982731698,"No",16.1943960740858
"10","E05000895","Croxteth",48.0186800357118,6.13859498617863,"No",25.863213811421
"11","E05000896","Everton",37.3224191584359,2.96834364630975,"Yes",57.9574698631992
"12","E05000897","Fazakerley",46.9379244608602,4.7596230634084,"No",16.0887452248016
"13","E05000898","Greenbank",55.7277460947186,8.18638906593018,"No",20.8053691275168
"14","E05000899","Kensington and Fairfield",42.2384080119659,3.15353398714914,"Yes",30.9336941813261
"15","E05000900","Kirkdale",41.3403661185231,4.40469624143094,"Yes",47.1552057798994
"16","E05000901","Knotty Ash",44.9293870192308,5.23025630339654,"Yes",29.839421210517
"17","E05000902","Mossley Hill",52.9965257672264,14.3635509628934,"No",10.1975440469834
"18","E05000903","Norris Green",43.3907091114508,2.41799437675726,"Yes",50.951341235184
"19","E05000904","Old Swan",43.6911487758945,4.33730920010009,"Yes",21.0867802108678
"20","E05000905","Picton",46.7575989182198,3.62345909600299,"No",34.7613380933492
"21","E05000906","Princes Park",44.644527595884,6.39128802102891,"Yes",57.9925650557621
"22","E05000907","Riverside",48.8600586255564,10.7036473158139,"No",33.969385615433
"23","E05000908","St Michael's",49.64975752444,14.7131939968695,"No",20.3387220939184
"24","E05000909","Speke-Garston",44.2019704433498,2.6013350767325,"Yes",46.2998102466793
"25","E05000910","Tuebrook and Stoneycroft",44.2840681666566,4.3188032813254,"Yes",18.1356158887254
"26","E05000911","Warbreck",45.6343668466719,4.90482584314035,"Yes",15.0817773918078
"27","E05000912","Wavertree",49.201191443271,9.57483882209444,"No",15.1326762699014
"28","E05000913","West Derby",48.7623418161591,7.80624126688402,"No",11.4902736564458
"29","E05000914","Woolton",46.6295178391765,15.3985314462062,"Yes",13.3167495854063
"30","E05000915","Yew Tree",46.0826466021737,5.20019936866589,"Yes",31.9426706399886
